source,destination,contact_start(s),contact_end(s),data_rate(bps),delay(s),link_type 
eosat,eogs1,2146241.000,2146396.000,8000000,0.057,low_dl
eosat,eogs1,2146397.000,2146417.000,8000000,0.057,low_dl
eosat,eogs1,2146421.000,2146449.124,8000000,0.057,low_dl
eogs1,eosat,2146062.047,2146449.124,64000,0.057,low_ul
eosat,eogs2,2166182.105,2166652.504,10000000000,0.057,high_dl
eogs1,eosat,2169516.784,2170052.591,64000,0.057,low_ul
eosat,eogs1,2169516.784,2170052.591,8000000,0.057,low_dl
eosat,eogs1,2192693.539,2193070.635,8000000,0.057,low_dl
eogs1,eosat,2192693.539,2193070.635,64000,0.057,low_ul
eosat,eogs2,2207509.141,2207948.489,10000000000,0.057,high_dl
eosat,eogs1,2215771.429,2216301.001,8000000,0.057,low_dl
eogs1,eosat,2215771.429,2216301.001,64000,0.057,low_ul
eosat,eogs1,2239406.153,2239818.816,8000000,0.057,low_dl
eogs1,eosat,2239406.153,2239818.816,64000,0.057,low_ul
eosat,eogs2,2253588.159,2254081.345,10000000000,0.057,high_dl
eogs1,eosat,2262765.145,2263262.162,64000,0.057,low_ul
eosat,eogs1,2262765.145,2263262.162,8000000,0.057,low_dl
eogs1,eosat,2285830.098,2286268.614,64000,0.057,low_ul
eosat,eogs1,2285830.098,2286268.614,8000000,0.057,low_dl
eosat,eogs2,2294935.047,2295403.820,10000000000,0.057,high_dl
eogs1,eosat,2309103.472,2309575.047,64000,0.057,low_ul
eosat,eogs1,2309103.472,2309575.047,8000000,0.057,low_dl
eogs1,eosat,2332701.802,2333191.687,64000,0.057,low_ul
eosat,eogs1,2332701.802,2333191.687,8000000,0.057,low_dl
eosat,eogs2,2335287.067,2335674.517,10000000000,0.057,high_dl
eogs1,eosat,2355991.795,2356410.989,64000,0.057,low_ul
eosat,eogs1,2355991.795,2356410.989,8000000,0.057,low_dl
eosat,eogs1,2378990.010,2379501.825,8000000,0.057,low_dl
eogs1,eosat,2378990.010,2379501.825,64000,0.057,low_ul
eosat,eogs2,2382361.415,2382854.053,10000000000,0.057,high_dl
eogs1,eosat,2402482.334,2402880.458,64000,0.057,low_ul
eosat,eogs1,2402482.334,2402880.458,8000000,0.057,low_dl
eosat,eogs2,2422681.354,2423104.621,10000000000,0.057,high_dl
eosat,eogs1,2425970.926,2426505.771,8000000,0.057,low_dl
eogs1,eosat,2425970.926,2426505.771,64000,0.057,low_ul
eogs1,eosat,2449177.951,2449551.533,64000,0.057,low_ul
eosat,eogs1,2449177.951,2449551.533,8000000,0.057,low_dl
eosat,eogs2,2463968.242,2464347.827,10000000000,0.057,high_dl
eogs1,eosat,2472218.713,2472754.080,64000,0.057,low_ul
eosat,eogs1,2472218.713,2472754.080,8000000,0.057,low_dl
eogs1,eosat,2495841.431,2496237.377,64000,0.057,low_ul
eosat,eogs1,2495841.431,2496237.377,8000000,0.057,low_dl
eosat,eogs2,2510080.118,2510534.133,10000000000,0.057,high_dl
eogs1,eosat,2519223.866,2519738.047,64000,0.057,low_ul
eosat,eogs1,2519223.866,2519738.047,8000000,0.057,low_dl
eosat,eogs1,2542319.611,2542735.454,8000000,0.057,low_dl
eogs1,eosat,2542319.611,2542735.454,64000,0.057,low_ul
eosat,eogs2,2551393.042,2551811.536,10000000000,0.057,high_dl
eogs1,eosat,2565529.378,2566022.377,64000,0.057,low_ul
eosat,eogs1,2565529.378,2566022.377,8000000,0.057,low_dl
eosat,eogs1,2589148.785,2589616.869,8000000,0.057,low_dl
eogs1,eosat,2589148.785,2589616.869,64000,0.057,low_ul
