source,destination,contact_start(s),contact_end(s),data_rate(bps),delay(s),link_type 
mgs1,mre1,628815.405,635441.223,300000000,1199.900,trunk
mre1,mgs1,628815.405,635441.223,300000000,1199.900,high_dl
mr2,mre3,632115.218,633615.218,150000000,0.076,low_ul
mre3,mr2,632115.218,633615.218,10000000,0.076,low_dl
mgs2,mre2,636971.615,640235.803,300000000,1199.860,trunk
mre2,mgs2,636971.615,640235.803,300000000,1199.860,trunk
mgs2,mre2,642616.045,646943.792,300000000,1199.837,trunk
mre2,mgs2,642616.045,646943.792,300000000,1199.837,trunk
mr2,mre2,645305.314,645343.115,150000000,0.053,low_ul
mre2,mr2,645305.314,645343.115,10000000,0.053,low_dl
mgs2,mre2,649324.697,653651.781,300000000,1199.800,trunk
mre2,mgs2,649324.697,653651.781,300000000,1199.800,trunk
mr1,mre1,653298.459,654006.045,150000000,0.054,low_ul
mre1,mr1,653298.459,654006.045,10000000,0.054,low_dl
mgs2,mre2,656033.347,660359.769,300000000,1199.766,trunk
mre2,mgs2,656033.347,660359.769,300000000,1199.766,trunk
mr1,mre3,664806.045,666306.045,150000000,0.076,low_ul
mre3,mr1,664806.045,666306.045,10000000,0.076,low_dl
mr2,mre3,668755.839,670255.839,150000000,0.076,low_ul
mre3,mr2,668755.839,670255.839,10000000,0.076,low_dl
mgs1,mre3,684905.003,699305.003,300000000,1199.612,trunk
mre3,mgs1,684905.003,699305.003,300000000,1199.612,high_dl
mr1,mre1,691548.426,692240.576,150000000,0.054,low_ul
mre1,mr1,691548.426,692240.576,10000000,0.054,low_dl
mr2,mre2,694664.588,695163.994,150000000,0.053,low_ul
mre2,mr2,694664.588,695163.994,10000000,0.053,low_dl
mr1,mre3,703040.576,704540.576,150000000,0.076,low_ul
mre3,mr1,703040.576,704540.576,10000000,0.076,low_dl
mr2,mre3,708136.895,709636.895,150000000,0.076,low_ul
mre3,mr2,708136.895,709636.895,10000000,0.076,low_dl
mgs2,mre3,723299.692,737699.692,300000000,1199.401,trunk
mre3,mgs2,723299.692,737699.692,300000000,1199.401,high_dl
mr1,mre3,735015.493,736515.493,150000000,0.076,low_ul
mre3,mr1,735015.493,736515.493,10000000,0.076,low_dl
mr2,mre2,738943.204,739440.016,150000000,0.053,low_ul
mre2,mr2,738943.204,739440.016,10000000,0.053,low_dl
mgs2,mre2,743245.787,747563.730,300000000,1199.302,trunk
mre2,mgs2,743245.787,747563.730,300000000,1199.302,trunk
mr2,mre3,750240.016,751740.016,150000000,0.076,low_ul
mre3,mr2,750240.016,751740.016,10000000,0.076,low_dl
mgs1,mre1,771282.824,785682.824,300000000,1199.156,trunk
mre1,mgs1,771282.824,785682.824,300000000,1199.156,high_dl
mr1,mre3,771315.181,772815.181,150000000,0.076,low_ul
mre3,mr1,771315.181,772815.181,10000000,0.076,low_dl
mr2,mre2,781881.663,782401.837,150000000,0.053,low_ul
