source,destination,contact_start(s),contact_end(s),data_rate(bps),delay(s),link_type # Simulation starting time: 2026-01-01T00:00:00 UTC
lgs3,lre1,629639.619,667096.627,300000000,1.338,low_ul
lre1,lgs3,629639.619,667096.627,100000000,1.338,high_dl
lre1,lgw,632609.639,689377.592,150000000,0.109,prox
lgw,lre1,632609.639,689377.592,150000000,0.109,prox
lgw,lre1,632609.639,689377.592,150000000,0.109,prox
lre1,lgw,632609.639,689377.592,150000000,0.109,prox
lre2,lgw,634816.709,835246.439,150000000,0.113,prox
lgw,lre2,634816.709,835246.439,150000000,0.113,prox
lgw,lre2,634816.709,835246.439,150000000,0.113,prox
lre2,lgw,634816.709,835246.439,150000000,0.113,prox
lb,lgw,640194.095,1205492.235,150000000,0.077,low_ul
lgw,lb,640194.095,1205492.235,1000000000,0.077,high_dl
lrov,lre2,640591.949,661465.842,150000000,0.094,low_ul
lre2,lrov,640591.949,661465.842,1000000000,0.094,high_dl
lgs3,lre2,660447.147,667536.280,300000000,1.348,low_ul
lre2,lgs3,660447.147,667536.280,100000000,1.348,high_dl
lgs1,lre1,660580.497,699595.398,300000000,1.323,low_ul
lre1,lgs1,660580.497,699595.398,100000000,1.323,high_dl
lgs1,lgw,660700.507,700154.599,300000000,1.353,low_ul
lgw,lgs1,660700.507,700154.599,100000000,1.353,high_dl
lb,lre2,670370.706,741475.021,150000000,0.073,low_ul
lre2,lb,670370.706,741475.021,1000000000,0.073,high_dl
lgs2,lre2,691409.591,726845.730,300000000,1.330,low_ul
lre2,lgs2,691409.591,726845.730,100000000,1.330,high_dl
lre1,lgw,691700.300,776176.269,150000000,0.176,prox
lgw,lre1,691700.300,776176.269,150000000,0.176,prox
lgw,lre1,691700.300,776176.269,150000000,0.176,prox
lre1,lgw,691700.300,776176.269,150000000,0.176,prox
lrov,lre1,692179.265,703787.409,150000000,0.058,low_ul
lre1,lrov,692179.265,703787.409,1000000000,0.058,high_dl
lgs2,lgw,692584.301,725787.364,300000000,1.372,low_ul
lgw,lgs2,692584.301,725787.364,1000000000,1.372,high_dl
lb,lre1,698052.374,769503.178,150000000,0.071,low_ul
lre1,lb,698052.374,769503.178,1000000000,0.071,high_dl
lgs3,lre2,719016.362,755292.454,300000000,1.358,low_ul
lre2,lgs3,719016.362,755292.454,100000000,1.358,high_dl
lgs3,lre1,719708.317,754914.114,300000000,1.361,low_ul
lre1,lgs3,719708.317,754914.114,100000000,1.361,high_dl
lgs3,lgw,720317.204,753531.235,300000000,1.388,low_ul
lgw,lgs3,720317.204,753531.235,100000000,1.388,high_dl
lrov,lre2,732837.482,747957.466,150000000,0.087,low_ul
lre2,lrov,732837.482,747957.466,1000000000,0.087,high_dl
lgs1,lgw,747635.282,789818.091,300000000,1.402,low_ul
lgw,lgs1,747635.282,789818.091,100000000,1.402,high_dl
lgs1,lre1,748626.641,779638.601,300000000,1.343,low_ul
lre1,lgs1,748626.641,779638.601,100000000,1.343,high_dl
lb,lre2,756750.126,827849.605,150000000,0.073,low_ul
lre2,lb,756750.126,827849.605,1000000000,0.073,high_dl
lre1,lgw,778141.235,862786.783,150000000,0.254,prox
lgw,lre1,778141.235,862786.783,150000000,0.254,prox
lgw,lre1,778141.235,862786.783,150000000,0.254,prox
lre1,lgw,778141.235,862786.783,150000000,0.254,prox
lrov,lre1,778578.821,795343.978,150000000,0.058,low_ul
lre1,lrov,778578.821,795343.978,1000000000,0.058,high_dl
lgs1,lre1,781695.938,789374.621,300000000,1.376,low_ul
lre1,lgs1,781695.938,789374.621,100000000,1.376,high_dl
lgs2,lre2,781765.154,814354.897,300000000,1.348,low_ul
lre2,lgs2,781765.154,814354.897,100000000,1.348,high_dl
lgs2,lgw,783276.309,812161.127,300000000,1.418,low_ul
lgw,lgs2,783276.309,812161.127,1000000000,1.418,high_dl
lb,lre1,784451.620,855917.375,150000000,0.071,low_ul
lre1,lb,784451.620,855917.375,1000000000,0.071,high_dl
lgs3,lre2,809058.056,843021.927,300000000,1.372,low_ul
lre2,lgs3,809058.056,843021.927,100000000,1.372,high_dl
lgs3,lre1,809774.965,842697.771,300000000,1.380,low_ul
lre1,lgs3,809774.965,842697.771,100000000,1.380,high_dl
lgs3,lgw,810503.177,840395.620,300000000,1.429,low_ul
lgw,lgs3,810503.177,840395.620,100000000,1.429,high_dl
lrov,lre2,824820.629,834363.676,150000000,0.079,low_ul
lre2,lrov,824820.629,834363.676,1000000000,0.079,high_dl
lgs1,lgw,835063.612,879286.615,300000000,1.438,low_ul
lgw,lgs1,835063.612,879286.615,100000000,1.438,high_dl
lre2,lgw,835679.906,921484.978,150000000,0.282,prox
lgw,lre2,835679.906,921484.978,150000000,0.282,prox
lgw,lre2,835679.906,921484.978,150000000,0.282,prox
lre2,lgw,835679.906,921484.978,150000000,0.282,prox
lgs1,lre1,836732.759,866113.751,300000000,1.361,low_ul
lre1,lgs1,836732.759,866113.751,100000000,1.361,high_dl
lb,lre2,843126.381,914224.841,150000000,0.073,low_ul
lre2,lb,843126.381,914224.841,1000000000,0.073,high_dl
lre1,lgw,864475.493,949350.645,150000000,0.291,prox
lgw,lre1,864475.493,949350.645,150000000,0.291,prox
lgw,lre1,864475.493,949350.645,150000000,0.291,prox
lre1,lgw,864475.493,949350.645,150000000,0.291,prox
lrov,lre1,865063.754,886775.986,150000000,0.058,low_ul
lre1,lrov,865063.754,886775.986,1000000000,0.058,high_dl
lgs1,lre1,869446.307,879075.595,300000000,1.391,low_ul
lre1,lgs1,869446.307,879075.595,100000000,1.391,high_dl
lb,lre1,870855.783,942336.033,150000000,0.071,low_ul
lre1,lb,870855.783,942336.033,1000000000,0.071,high_dl
lgs2,lre2,872181.157,901865.499,300000000,1.362,low_ul
lre2,lgs2,872181.157,901865.499,100000000,1.362,high_dl
lgs2,lgw,873815.868,898876.009,300000000,1.449,low_ul
lgw,lgs2,873815.868,898876.009,1000000000,1.449,high_dl
lgs3,lre2,899148.373,930805.004,300000000,1.383,low_ul
lre2,lgs3,899148.373,930805.004,100000000,1.383,high_dl
lgs3,lre1,899905.390,930536.234,300000000,1.396,low_ul
lre1,lgs3,899905.390,930536.234,100000000,1.396,high_dl
lgs3,lgw,900622.162,927630.552,300000000,1.454,low_ul
lgw,lgs3,900622.162,927630.552,100000000,1.454,high_dl
lrov,lre2,916268.075,920557.353,150000000,0.068,low_ul
lre2,lrov,916268.075,920557.353,1000000000,0.068,high_dl
lre2,lgw,922488.391,1007938.781,150000000,0.298,prox
lgw,lre2,922488.391,1007938.781,150000000,0.298,prox
lgw,lre2,922488.391,1007938.781,150000000,0.298,prox
lre2,lgw,922488.391,1007938.781,150000000,0.298,prox
lgs1,lgw,922908.717,968741.836,300000000,1.457,low_ul
