source,destination,contact_start(s),contact_end(s),data_rate(bps),delay(s),link_type # Simulation starting time: 2026-01-01T00:00:00 UTC
mgs2,mre3,291642.206,316500.407,1000000,1201.594,trunk
mre3,mgs2,291642.206,316500.407,4000000,1201.594,trunk
mr2,mre3,292781.814,304692.397,15000000,0.076,low_ul
mre3,mr2,292781.814,304692.397,1000000,0.076,low_dl
mgs1,mre2,293765.729,297317.697,1000000,1201.604,trunk
mre2,mgs1,293765.729,297317.697,4000000,1201.604,trunk
mgs2,mre2,293765.758,298130.771,1000000,1201.606,trunk
mre2,mgs2,293765.758,298130.771,4000000,1201.606,trunk
mgs2,mre1,295366.879,301398.708,1000000,1201.599,trunk
mre1,mgs2,295366.879,301398.708,4000000,1201.599,trunk
mgs1,mre1,295366.920,297317.915,1000000,1201.599,trunk
mre1,mgs1,295366.920,297317.915,4000000,1201.599,trunk
mr2,mre2,296174.727,296640.935,15000000,0.053,low_ul
mre2,mr2,296174.727,296640.935,1000000,0.053,low_dl
mr1,mre1,298216.046,298942.241,15000000,0.054,low_ul
mre1,mr1,298216.046,298942.241,1000000,0.054,low_dl
mgs2,mre2,300474.427,304838.677,1000000,1201.570,trunk
mre2,mgs2,300474.427,304838.677,4000000,1201.570,trunk
mgs2,mre1,302463.678,308503.812,1000000,1201.561,trunk
mre1,mgs2,302463.678,308503.812,4000000,1201.561,trunk
mgs2,mre2,307183.093,311546.582,1000000,1201.537,trunk
mre2,mgs2,307183.093,311546.582,4000000,1201.537,trunk
mgs2,mre1,309560.426,315608.966,1000000,1201.528,trunk
mre1,mgs2,309560.426,315608.966,4000000,1201.528,trunk
mgs2,mre2,313891.758,316500.257,1000000,1201.508,trunk
mre2,mgs2,313891.758,316500.257,4000000,1201.508,trunk
mr2,mre1,315227.385,315931.033,15000000,0.054,low_ul
mre1,mr2,315227.385,315931.033,1000000,0.054,low_dl
mr1,mre2,316413.975,316738.996,15000000,0.053,low_ul
mre2,mr1,316413.975,316738.996,1000000,0.053,low_dl
mr1,mre3,319739.197,331626.227,15000000,0.076,low_ul
mre3,mr1,319739.197,331626.227,1000000,0.076,low_dl
mr1,mre2,323165.653,323292.993,15000000,0.053,low_ul
mre2,mr1,323165.653,323292.993,1000000,0.053,low_dl
mr2,mre3,330775.233,342023.708,15000000,0.076,low_ul
mre3,mr2,330775.233,342023.708,1000000,0.076,low_dl
mr1,mre1,336490.847,337150.340,15000000,0.054,low_ul
mre1,mr1,336490.847,337150.340,1000000,0.054,low_dl
mr2,mre2,339095.967,339618.101,15000000,0.053,low_ul
mre2,mr2,339095.967,339618.101,1000000,0.053,low_dl
mgs1,mre1,339396.868,344030.248,1000000,1201.379,trunk
mre1,mgs1,339396.868,344030.248,4000000,1201.379,trunk
mgs1,mre3,339397.087,383668.226,1000000,1201.391,trunk
mre3,mgs1,339397.087,383668.226,4000000,1201.391,trunk
mgs1,mre2,340726.390,345086.076,1000000,1201.376,trunk
mre2,mgs1,340726.390,345086.076,4000000,1201.376,trunk
mr1,mre1,343974.037,344085.138,15000000,0.054,low_ul
mre1,mr1,343974.037,344085.138,1000000,0.054,low_dl
mgs1,mre1,345043.112,351135.683,1000000,1201.351,trunk
mre1,mgs1,345043.112,351135.683,4000000,1201.351,trunk
mgs1,mre2,347435.059,351793.994,1000000,1201.336,trunk
mre2,mgs1,347435.059,351793.994,4000000,1201.336,trunk
mgs1,mre1,352139.528,358241.161,1000000,1201.309,trunk
mre1,mgs1,352139.528,358241.161,4000000,1201.309,trunk
mgs1,mre2,354143.726,358501.915,1000000,1201.297,trunk
mre2,mgs1,354143.726,358501.915,4000000,1201.297,trunk
mr1,mre3,358002.100,369282.089,15000000,0.076,low_ul
mre3,mr1,358002.100,369282.089,1000000,0.076,low_dl
mgs1,mre1,359235.892,365346.690,1000000,1201.271,trunk
mre1,mgs1,359235.892,365346.690,4000000,1201.271,trunk
mgs1,mre2,360852.391,365209.835,1000000,1201.261,trunk
mre2,mgs1,360852.391,365209.835,4000000,1201.261,trunk
mr2,mre1,362146.177,362859.362,15000000,0.054,low_ul
