source,destination,contact_start(s),contact_end(s),data_rate(bps),delay(s),link_type 
mre3,mr1,1262324.801,1263824.801,1000000,0.076,low_dl
mr2,mre2,1268933.980,1269469.410,15000000,0.053,low_ul
mre2,mr2,1268933.980,1269469.410,1000000,0.053,low_dl
mr2,mre3,1280269.410,1281769.410,15000000,0.076,low_ul
mre3,mr2,1280269.410,1281769.410,1000000,0.076,low_dl
mgs1,mre1,1289561.661,1303961.661,1000000,1196.214,trunk
mre1,mgs1,1289561.661,1303961.661,4000000,1196.214,trunk
mr1,mre3,1298523.845,1300023.845,15000000,0.076,low_ul
mre3,mr1,1298523.845,1300023.845,1000000,0.076,low_dl
mr2,mre3,1310127.639,1311627.639,15000000,0.076,low_ul
mre3,mr2,1310127.639,1311627.639,1000000,0.076,low_dl
mr1,mre1,1316565.876,1317192.767,15000000,0.054,low_ul
mre1,mr1,1316565.876,1317192.767,1000000,0.054,low_dl
mgs2,mre3,1327560.612,1341960.612,1000000,1195.958,trunk
mre3,mgs2,1327560.612,1341960.612,4000000,1195.958,trunk
mr1,mre3,1337320.096,1338820.096,15000000,0.076,low_ul
mre3,mr1,1337320.096,1338820.096,1000000,0.076,low_dl
mgs2,mre2,1347022.921,1351289.817,1000000,1195.866,trunk
mre2,mgs2,1347022.921,1351289.817,4000000,1195.866,trunk
mr2,mre3,1347194.192,1348694.192,15000000,0.076,low_ul
mre3,mr2,1347194.192,1348694.192,1000000,0.076,low_dl
mr1,mre1,1356470.791,1356706.321,15000000,0.054,low_ul
mre1,mr1,1356470.791,1356706.321,1000000,0.054,low_dl
